date,time,sensor_id,direction_1,direction_2,total_of_directions,date_time
2022/11/05,22:33,35,29,21,50,2022/11/05 10:33:00 PM
2022/11/05,22:29,2,0,2,2,2022/11/05 10:29:00 PM
2022/11/05,22:26,36,1,2,3,2022/11/05 10:26:00 PM
2022/11/05,22:31,43,0,1,1,2022/11/05 10:31:00 PM
2022/11/05,22:32,14,8,3,11,2022/11/05 10:32:00 PM
2022/11/05,22:32,69,0,4,4,2022/11/05 10:32:00 PM
2022/11/05,22:30,70,2,0,2,2022/11/05 10:30:00 PM
2022/11/05,22:29,56,10,3,13,2022/11/05 10:29:00 PM
2022/11/05,22:20,2,2,7,9,2022/11/05 10:20:00 PM
2022/11/05,22:18,5,10,22,32,2022/11/05 10:18:00 PM
2022/11/05,22:25,65,8,11,19,2022/11/05 10:25:00 PM
2022/11/05,22:29,28,2,25,27,2022/11/05 10:29:00 PM
2022/11/05,22:26,65,2,3,5,2022/11/05 10:26:00 PM
2022/11/05,22:23,84,5,14,19,2022/11/05 10:23:00 PM
2022/11/05,22:22,5,11,13,24,2022/11/05 10:22:00 PM
2022/11/05,22:22,10,1,0,1,2022/11/05 10:22:00 PM
2022/11/05,22:24,30,7,2,9,2022/11/05 10:24:00 PM
2022/11/05,22:33,27,1,1,2,2022/11/05 10:33:00 PM
2022/11/05,22:34,72,5,9,14,2022/11/05 10:34:00 PM
2022/11/05,22:19,11,3,1,4,2022/11/05 10:19:00 PM
2022/11/05,22:33,87,0,1,1,2022/11/05 10:33:00 PM
2022/11/05,22:33,72,0,7,7,2022/11/05 10:33:00 PM
2022/11/05,22:29,62,1,5,6,2022/11/05 10:29:00 PM
